Entity,Code,Year,"Biofuels (TWh, direct energy)","Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)","Nuclear (TWh, direct energy)","Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)","Traditional biomass (TWh, direct energy)"
World,OWID_WRL,1982,37.556244,61.708954,0,0.0185,1800.9081,912.17755,14469.731,33270.01,21395.428,10213
World,OWID_WRL,1983,49.01924,68.35493,0.003,0.03279495,1877.7689,1033.8127,14703.827,33097.43,22050.973,10321
World,OWID_WRL,1984,57.806427,76.34615,0.006311111,0.044755556,1941.3734,1254.5685,15902.676,33623.6,23008.44,10430
World,OWID_WRL,1985,68.410095,78.702576,0.011747475,0.064220205,1979.2437,1488.9216,16262.218,33684.684,23996.738,10541
World,OWID_WRL,1986,84.202995,85.44338,0.015183838,0.13883132,2006.073,1594.7357,16421.107,34710.477,24263.818,10653
World,OWID_WRL,1987,85.33012,91.51602,0.01060303,0.19537677,2033.1924,1734.7332,17281.893,35508.195,25228.488,10765
World,OWID_WRL,1988,89.5602,94.16091,0.010195959,0.3315798,2098.3489,1891.2493,18088.844,36641.938,25983.08,10879
World,OWID_WRL,1989,95.68924,104.67236,0.26222324,2.6497767,2087.587,1945.0106,18888.648,37215.688,26231.049,10995
World,OWID_WRL,1990,106.56911,117.22435,0.38824996,3.6324706,2158.622,2000.596,19481.15,37906.816,25928.912,11111
World,OWID_WRL,1991,110.64683,122.26321,0.50522286,4.086107,2208.5442,2096.3098,19972.838,37876.832,25686.727,11243
World,OWID_WRL,1992,108.705635,131.15991,0.4665791,4.732812,2208.3147,2112.223,20063.482,38404.773,25584.3,11376
World,OWID_WRL,1993,114.34006,135.48085,0.5566775,5.704169,2341.3206,2184.9646,20265.482,38246.242,25708.832,11511
World,OWID_WRL,1994,124.101776,140.67743,0.5969829,7.13173,2355.9055,2225.9788,20389.613,39068.176,25815.188,11647
World,OWID_WRL,1995,131.0704,146.64236,0.63888276,8.272123,2483.389,2322.5298,21104.492,39666.37,25999.217,11785
World,OWID_WRL,1996,125.784515,150.7037,0.69922996,9.215601,2516.815,2406.615,22159.254,40576.63,26617.482,11925
World,OWID_WRL,1997,130.03065,161.41173,0.7496558,12.028216,2561.3557,2390.0642,22030.393,41652.086,26563.252,12066
World,OWID_WRL,1998,133.38396,168.2174,0.811852,15.92926,2580.9333,2431.1948,22434,41788.617,26395.965,12209
World,OWID_WRL,1999,135.24736,176.64807,0.9052879,21.226898,2600.4688,2523.7056,23071.904,42435.785,26508.807,12414
World,OWID_WRL,2000,132.50877,184.92102,1.0581311,31.409548,2646.6814,2580.6675,23994.258,43016.63,27456.373,12500
World,OWID_WRL,2001,131.42494,192.07533,1.4220114,38.380005,2578.609,2653.5366,24316.832,43398.32,27880.072,12500
World,OWID_WRL,2002,149.3146,206.76979,1.7970146,52.38179,2626.1453,2695.9448,25051.928,43697.09,28982.217,12470
World,OWID_WRL,2003,168.93166,218.43156,2.2525039,63.28461,2622.9336,2641.3206,25727.734,44610.883,31519.594,12329
World,OWID_WRL,2004,201.20049,236.08224,2.9681087,85.61839,2816.5308,2761.3591,26781.62,46413.184,33708.973,12160
World,OWID_WRL,2005,234.4752,255.4756,4.1821074,104.62726,2911.2554,2768.6055,27439.225,47016.887,36200.953,12076
World,OWID_WRL,2006,294.60196,272.06897,5.7550807,133.50282,3022.2324,2803.1106,28171.709,47436.953,38087.04,11993
World,OWID_WRL,2007,391.6522,295.30084,7.8056073,171.5046,3072.41,2745.9678,29338.285,48087.52,40241.703,11911
World,OWID_WRL,2008,535.94214,315.9329,12.680596,221.41243,3251.593,2737.4546,30050.746,47692.652,40796.645,11829
World,OWID_WRL,2009,600.6355,338.23798,21.05927,276.79733,3246.3337,2698.719,29403.605,46633.97,40219.008,11747
World,OWID_WRL,2010,678.90076,378.38107,33.921192,346.40906,3430.1125,2768.2646,31592.871,48192.543,42016.016,11667
World,OWID_WRL,2011,717.3121,397.03775,65.74349,440.9265,3492.5762,2652.4263,32349.885,48578.273,43983.35,11553
World,OWID_WRL,2012,746.39514,428.7513,101.51597,530.81085,3641.434,2470.5425,33246.438,49362.21,44098.684,11441
World,OWID_WRL,2013,818.51044,461.37805,138.60948,635.8524,3787.994,2490.2715,33733.266,49922.812,44745.465,11330
World,OWID_WRL,2014,865.9456,502.1095,197.29445,706.23956,3889.0725,2541.1248,33976.355,50336.395,44912.37,11220
World,OWID_WRL,2015,898.43317,534.2973,256.5335,831.752,3879.1655,2575.3406,34780.043,51294.03,43695.344,11111
World,OWID_WRL,2016,938.65326,547.1505,328.01477,962.6643,4015.9543,2613.6562,35583.984,52314.516,42767.824,11111
World,OWID_WRL,2017,957.89087,576.2297,445.88455,1142.5314,4068.418,2637.002,36603.055,53263.332,43226.34,11111
World,OWID_WRL,2018,1038.8154,624.6732,575.5735,1271.1879,4188.5957,2700.2244,38317.06,53792.79,43897.33,11111
World,OWID_WRL,2019,1127.3136,652.1985,706.5271,1422.2594,4242.626,2795.7578,39053.18,53997.266,43627.613,11111
World,OWID_WRL,2020,1068.2296,688.7327,857.2814,1595.7666,4359.1284,2689.005,38704.047,49101.246,42316.324,11111
World,OWID_WRL,2021,1128.1194,741.6173,1052.791,1860.6091,4293.666,2802.7505,40225.734,51846.82,44642.164,11111
World,OWID_WRL,2022,1193.1312,761.4335,1322.6465,2110.1328,4334.792,2679.4155,40059.652,53562.11,44926.926,11111
World,OWID_WRL,2023,1319.2163,771.6347,1650.8986,2322.7354,4260.753,2737.6233,40151.22,54838.684,45319.086,11111
World,OWID_WRL,2024,1366.8783,792.43414,2111.7334,2511.0308,4452.9087,2817.4524,41278.27,55292.082,45850.543,11111
