Time (years),Mean Sea Level (cm),90% C.L. uncertainty,OLS fit
1993.0006844626969,-0.3425199703411344,0.8811077964826964,nan
1993.003422313484,-0.34034426300486326,0.8808464202533537,nan
1993.006160164271,-0.3381531953836239,0.8804377360147556,nan
1993.008898015058,-0.3359459288512169,0.8801385552354195,nan
1993.0116358658454,-0.33372166347526,0.8798607198727739,nan
1993.0143737166325,-0.33147963304499645,0.8796139627073175,nan
1993.0171115674195,-0.3292190984863384,0.8792145405436396,nan
1993.0198494182066,-0.3269393464178474,0.8789457751835523,nan
1993.022587268994,-0.32463968712673813,0.8786887419967397,nan
1993.025325119781,-0.32231945347831276,0.8784290788051279,nan
1993.028062970568,-0.3199779954128071,0.87812655820717,nan
1993.0308008213553,-0.3176146850363624,0.8777803685711626,nan
1993.0335386721424,-0.31522891439848744,0.877509692786997,nan
1993.0362765229295,-0.3128200898262534,0.8771926734438258,nan
1993.0390143737166,-0.3103876312485434,0.8769395248249762,nan
1993.0417522245039,-0.30793097176885537,0.8765455394104752,nan
1993.044490075291,-0.3054495534577401,0.8762350522732353,nan
1993.047227926078,-0.3029428250798643,0.8760474363576997,nan
1993.049965776865,-0.3004102460786328,0.8757056991859752,nan
1993.0527036276524,-0.29785128971554814,0.8754202595800533,nan
1993.0554414784394,-0.29526544693618856,0.875044647191607,nan
1993.0581793292265,-0.29265222801556506,0.8748919745690942,nan
1993.0609171800138,-0.2900111670361403,0.8744029325522202,nan
1993.0636550308009,-0.2873418265467961,0.8741866852404658,nan
1993.066392881588,-0.2846437959695573,0.8739090000199674,nan
1993.069130732375,-0.2819166972880753,0.8736974661016773,nan
1993.0718685831623,-0.27916018542849846,0.8735028796556754,nan
1993.0746064339494,-0.2763739397358965,0.8730255440303502,nan
1993.0773442847365,-0.27355766561294675,0.8727821518073581,nan
1993.0800821355235,-0.27071109695221485,0.8725109317527864,nan
1993.0828199863108,-0.2678339963651201,0.872245740231242,nan
1993.085557837098,-0.26492615009880827,0.8718710083812882,nan
1993.088295687885,-0.2619873623833782,0.8716232356613759,nan
1993.091033538672,-0.2590174516999543,0.87141606725161,nan
1993.0937713894593,-0.2560162496504693,0.8710584467267809,nan
1993.0965092402464,-0.25298359808254456,0.8707724824672733,nan
1993.0992470910335,-0.24991934631606033,0.870670684269974,nan
1993.1019849418208,-0.24682334935387476,0.8704086944229698,nan
1993.1047227926078,-0.24369546535765058,0.8700189116650486,nan
1993.107460643395,-0.2405355529197452,0.8696735852234733,nan
1993.110198494182,-0.23734347122061578,0.8694154914327356,nan
1993.1129363449693,-0.23411907669153734,0.8692058071475399,nan
1993.1156741957564,-0.23086222438050624,0.8689270528576898,nan
1993.1184120465434,-0.22757276936082968,0.8687121987640692,nan
1993.1211498973305,-0.22425056641774316,0.8684668541348,nan
1993.1238877481178,-0.2208954728232443,0.8681858610987006,nan
1993.1266255989049,-0.21750735193358992,0.8680732844926466,nan
1993.129363449692,-0.21408607773761879,0.8676470112238621,nan
1993.1321013004792,-0.21063153830553813,0.8673844764405839,nan
1993.1348391512663,-0.20714363735919275,0.8670450323514881,nan
1993.1375770020534,-0.2036222978988695,0.8667465715897101,nan
1993.1403148528404,-0.20006746374660264,0.8664056001471427,nan
1993.1430527036277,-0.19647910052373516,0.8662959529396802,nan
1993.1457905544148,-0.1928571972814524,0.8659692910309066,nan
1993.148528405202,-0.18920177045849243,0.865572469059082,nan
1993.151266255989,-0.18551286505693523,0.8655241797813288,nan
1993.1540041067763,-0.18179055806863847,0.8651381046026251,nan
1993.1567419575633,-0.17803495916075254,0.8650495851562968,nan
1993.1594798083504,-0.17424621194307283,0.8646260627975666,nan
1993.1622176591375,-0.1704244941273818,0.8643519146867567,nan
1993.1649555099248,-0.16657001653627182,0.8641264357205859,nan
1993.1676933607118,-0.16268302372040988,0.8639115734451814,nan
1993.170431211499,-0.15876379595556703,0.8636022421020018,nan
1993.1731690622862,-0.1548126490921575,0.863450490706274,nan
1993.1759069130733,-0.15082993838129713,0.863049626844321,nan
1993.1786447638603,-0.14681605715699922,0.8629802751970103,nan
1993.1813826146474,-0.14277143679819118,0.8626596551207947,nan
1993.1841204654347,-0.13869654771770804,0.8623980451307578,nan
1993.1868583162218,-0.1345918983726297,0.8622155546994098,nan
1993.1895961670089,-0.1304580378274603,0.8619256154105321,nan
1993.192334017796,-0.12629555571560566,0.8615816310513431,nan
1993.1950718685832,-0.1221050812509055,0.861440711691866,nan
1993.1978097193703,-0.11788728847492483,0.8612367085035321,nan
1993.2005475701574,-0.11364289823722186,0.8609958003593954,nan
1993.2032854209447,-0.10937267693337777,0.860660593763427,nan
1993.2060232717317,-0.1050774377265141,0.8603808198818056,nan
1993.2087611225188,-0.10075804218566217,0.8601962750375052,nan
1993.2114989733059,-0.09641540177441715,0.8599097114474474,nan
1993.2142368240932,-0.09205047841631357,0.8597936185622588,nan
1993.2169746748802,-0.08766428285115856,0.8594837582320729,nan
1993.2197125256673,-0.08325787297422062,0.8593256230344459,nan
1993.2224503764544,-0.07883235561844198,0.8589969311740133,nan
1993.2251882272417,-0.07438888633512067,0.8589057906219193,nan
1993.2279260780288,-0.06992866774592194,0.8585761342218603,nan
1993.2306639288158,-0.06545294860118717,0.8583763855532911,nan
1993.233401779603,-0.060963022214297204,0.8581106877194632,nan
1993.2361396303902,-0.056460223567145744,0.8580438473690128,nan
1993.2388774811773,-0.05194592844758904,0.8576733034397298,nan
1993.2416153319643,-0.0474215517876296,0.8575222347421105,nan
1993.2443531827516,-0.04288854250836705,0.857331838856863,nan
