time,ohc_mean,ohc_min,ohc_max
19750616,-6.8463255037424876e+22,-8.471597485116882e+22,-5.299574119641271e+22
19750716,-6.949246768928746e+22,-8.43664684984871e+22,-5.396728735672662e+22
19750816,-7.074704842286298e+22,-8.46577410561871e+22,-5.535454841374413e+22
19750916,-7.178328008486478e+22,-8.494567944896296e+22,-5.624878540755463e+22
19751016,-7.273680374018987e+22,-8.541417916039913e+22,-5.728663543808253e+22
19751116,-7.307463188373784e+22,-8.519758604232012e+22,-5.800194366809766e+22
19760016,-7.3115715220738595e+22,-8.482970950675836e+22,-5.839754623946536e+22
19760116,-7.2771815399233e+22,-8.42595485397337e+22,-5.846190230284051e+22
19760216,-7.2071237167579105e+22,-8.338825400832493e+22,-5.818761244403536e+22
19760316,-7.106767236547443e+22,-8.24451319417592e+22,-5.755088977571803e+22
19760416,-6.994931298560788e+22,-8.139517248243324e+22,-5.682756213596643e+22
19760516,-6.900926890420749e+22,-8.050573932822525e+22,-5.621377404875148e+22
19760616,-6.812403265449226e+22,-7.963469662309566e+22,-5.557130741440941e+22
19760716,-6.682536423260458e+22,-7.83455104551634e+22,-5.469373336392021e+22
19760816,-6.530359701779616e+22,-7.683329552528462e+22,-5.341092054006062e+22
19760916,-6.4133489251591305e+22,-7.571409584878762e+22,-5.269881662118036e+22
19761016,-6.29887132575105e+22,-7.455064492825198e+22,-5.193706426940803e+22
19761116,-6.150345109538164e+22,-7.294489473771235e+22,-5.04628762335829e+22
19770016,-6.015193976232619e+22,-7.151264121921753e+22,-4.927326577931171e+22
19770116,-5.894698066522495e+22,-7.0226583927126395e+22,-4.827158378209125e+22
19770216,-5.854665757084784e+22,-6.980035687829257e+22,-4.816676850556371e+22
19770316,-5.8382177405496986e+22,-6.95821221981494e+22,-4.832924561992029e+22
19770416,-5.84268965735369e+22,-6.953967427046155e+22,-4.847661503402689e+22
19770516,-5.842959603115354e+22,-6.951025337999585e+22,-4.864827611392359e+22
19770616,-5.814498790018213e+22,-6.928059044049825e+22,-4.856592366643746e+22
19770716,-5.787421677882584e+22,-6.899008049233514e+22,-4.845802642656492e+22
19770816,-5.802489491251868e+22,-6.928315599108597e+22,-4.871098160803531e+22
19770916,-5.7980177395798614e+22,-6.940434147695904e+22,-4.8654806708683245e+22
19771016,-5.799361020734718e+22,-6.929354466952641e+22,-4.86488825986734e+22
19771116,-5.846475660922434e+22,-6.975650945702053e+22,-4.941855453039046e+22
19780016,-5.920115204377473e+22,-7.078706966095159e+22,-5.022370356817213e+22
19780116,-5.96419709055212e+22,-7.1571634996636365e+22,-5.0552146960696606e+22
19780216,-5.986098763573967e+22,-7.184717460433812e+22,-5.07353466381386e+22
19780316,-6.011693921216215e+22,-7.214369835920363e+22,-5.0981564059266476e+22
19780416,-6.0753896142720096e+22,-7.284058011134338e+22,-5.1734686388252855e+22
19780516,-6.12100808360352e+22,-7.332928860020745e+22,-5.221932662545354e+22
